date,temperature_2m,relative_humidity_2m,apparent_temperature,precipitation,rain,showers,snowfall,pressure_msl,surface_pressure,cloud_cover,wind_speed_10m,wind_direction_10m,wind_gusts_10m,is_day,year,month,day,hour,cluster
31-10-2024,11.141,88,10.376408,0,0,0,0,1025.6,1024.4915,78,3.8773184,248.19853,7.5599995,0,2024,10,31,19,1
31-10-2024,10.941,90,10.199422,0,0,0,0,1025.7,1024.5906,79,3.9763298,264.80566,7.5599995,0,2024,10,31,20,1
31-10-2024,10.540999,91,9.89294,0,0,0,0,1025.3,1024.1895,63,2.9024127,262.8751,7.92,0,2024,10,31,21,1
31-10-2024,10.240999,91,9.419403,0,0,0,0,1025.3,1024.1882,49,3.5455887,293.9625,6.12,0,2024,10,31,22,1
13-11-2024,9.740999,92,8.915657,0,0,0,0,1025.3,1024.1863,65,2.968636,255.96373,6.4799995,0,2024,10,31,23,1
13-11-2024,11.899999618530272,79,8.428638458251953,0,0,0,0,1031.4000244140625,1031.4000244140625,77,20.880001068115234,314,27.71999931335449,0,2024,11,13,23,1
13-11-2024,12.050000190734863,78,8.620214462280273,0,0,0,0,1031.0999755859375,1031.0999755859375,53,20.51999855041504,304,26.63999938964844,0,2024,11,13,23,1
14-11-2024,12.050000190734863,78,8.567713737487793,0,0,0,0,1031.0999755859375,1031.0999755859375,52,20.880001068115234,307,27,0,2024,11,14,0,1
14-11-2024,11.949999809265137,80,8.487314224243164,0,0,0,0,1030.199951171875,1030.199951171875,98,21.239999771118164,304,27.71999931335449,0,2024,11,14,1,1
14-11-2024,11.75,86,8.576478958129883,0,0,0,0,1030,1030,100,20.880001068115234,311,28.799999237060547,0,2024,11,14,2,1
14-11-2024,11.850000381469728,90,9.159213066101074,0,0,0,0,1029.4000244140625,1029.4000244140625,100,19.07999992370605,318,26.280000686645508,0,2024,11,14,3,4
14-11-2024,11.699999809265137,90,8.703968048095703,0,0,0,0,1029.0999755859375,1029.0999755859375,100,20.880001068115234,317,28.440000534057617,0,2024,11,14,4,4
14-11-2024,12.199999809265137,91,9.712268829345703,0,0,0,0,1028.699951171875,1028.699951171875,100,18.71999931335449,326,24.84000015258789,0,2024,11,14,5,4
14-11-2024,12.850000381469728,92,10.241865158081056,0.1000000014901161,0,0.1000000014901161,0,1028.699951171875,1028.699951171875,100,21.239999771118164,354,27.71999931335449,0,2024,11,14,6,4
14-11-2024,13.199999809265137,93,10.596639633178713,0.1000000014901161,0,0.1000000014901161,0,1029.199951171875,1029.199951171875,100,22.319997787475582,357,28.440000534057617,0,2024,11,14,7,4
14-11-2024,13.300000190734863,90,9.992042541503906,0.1000000014901161,0,0.1000000014901161,0,1029.699951171875,1029.699951171875,100,26.280000686645508,21,32.39999771118164,1,2024,11,14,8,4
14-11-2024,13.149999618530272,83,9.270338058,0.1000000014901161,0,0.1000000014901161,0,1029.4000244140625,1029.4000244140625,100,27.35999870300293,25,44.63999557495117,1,2024,11,14,9,4
14-11-2024,12.949999809265137,78,7.757009506225586,0,0,0,0,1030,1030,100,34.20000076293945,15,42.83999633789063,1,2024,11,14,10,4
14-11-2024,12.75,76,8.347099304199219,0,0,0,0,1030.0999755859375,1030.0999755859375,100,27.71999931335449,13,39.959999084472656,1,2024,11,14,11,4
