date,temperature_2m,relative_humidity_2m,apparent_temperature,precipitation,rain,showers,snowfall,pressure_msl,surface_pressure,cloud_cover,wind_speed_10m,wind_direction_10m,wind_gusts_10m,is_day,year,month,day,hour,cluster
31-10-2024,11.141,88,10.376408,0,0,0,0,1025.6,1024.4915,78,3.8773184,248.19853,7.5599995,0,2024,10,31,19,1
31-10-2024,10.941,90,10.199422,0,0,0,0,1025.7,1024.5906,79,3.9763298,264.80566,7.5599995,0,2024,10,31,20,1
31-10-2024,10.540999,91,9.89294,0,0,0,0,1025.3,1024.1895,63,2.9024127,262.8751,7.92,0,2024,10,31,21,1
31-10-2024,10.240999,91,9.419403,0,0,0,0,1025.3,1024.1882,49,3.5455887,293.9625,6.12,0,2024,10,31,22,1
31-10-2024,9.740999,92,8.915657,0,0,0,0,1025.3,1024.1863,65,2.968636,255.96373,6.4799995,0,2024,10,31,23,1
2024-11-13,7.0,93.0,4.997633934020996,0.0,0.0,0.0,0.0,1032.0,1030.867919921875,96.0,6.792466163635254,302.0053405761719,13.319999694824219,0.0,2024,11,13,23,1
2024-11-14,7.050000190734863,95.0,5.128628730773926,0.0,0.0,0.0,0.0,1031.9000244140625,1030.7684326171875,97.0,6.792466163635254,302.0053405761719,15.119998931884766,0.0,2024,11,14,0,1
2024-11-14,7.400000095367432,92.0,5.465740203857422,0.0,0.0,0.0,0.0,1031.300048828125,1030.1705322265625,100.0,6.696386814117432,306.2539367675781,14.039999961853027,0.0,2024,11,14,1,1
2024-11-14,7.550000190734863,91.0,5.587030410766602,0.0,0.0,0.0,0.0,1031.4000244140625,1030.27099609375,100.0,6.877789497375488,317.12109375,14.75999927520752,0.0,2024,11,14,2,1
2024-11-14,7.800000190734863,91.0,6.0355377197265625,0.0,0.0,0.0,0.0,1030.9000244140625,1029.7724609375,100.0,5.9044389724731445,322.43133544921875,16.19999885559082,0.0,2024,11,14,3,0
2024-11-14,8.100000381469727,91.0,6.184560775756836,0.0,0.0,0.0,0.0,1031.0,1029.87353515625,100.0,7.412853240966797,330.94549560546875,17.280000686645508,0.0,2024,11,14,4,0
2024-11-14,8.300000190734863,92.0,6.388205528259277,0.0,0.0,0.0,0.0,1030.5,1029.3751220703125,100.0,7.968938827514648,341.56494140625,18.719999313354492,0.0,2024,11,14,5,0
2024-11-14,8.449999809265137,92.0,6.57635498046875,0.0,0.0,0.0,0.0,1030.5999755859375,1029.475341796875,100.0,7.952659606933594,354.8056640625,17.639999389648438,0.0,2024,11,14,6,0
2024-11-14,8.850000381469727,93.0,7.060535430908203,0.0,0.0,0.0,0.0,1031.0,1029.87646484375,91.0,8.31124496459961,355.03033447265625,18.719999313354492,0.0,2024,11,14,7,4
2024-11-14,8.850000381469727,95.0,7.405115127563477,0.0,0.0,0.0,0.0,1031.0999755859375,1029.9764404296875,75.0,6.489992141723633,356.8202209472656,16.919998168945312,1.0,2024,11,14,8,4
2024-11-14,9.350000381469727,95.0,7.814455986022949,0.0,0.0,0.0,0.0,1031.300048828125,1030.17822265625,68.0,7.993297576904297,352.23492431640625,18.35999870300293,1.0,2024,11,14,9,4
2024-11-14,10.300000190734863,92.0,8.767516136169434,0.0,0.0,0.0,0.0,1031.5999755859375,1030.4815673828125,75.0,8.825508117675781,348.2317199707031,19.799999237060547,1.0,2024,11,14,10,4
2024-11-14,10.550000190734863,85.0,8.381243705749512,0.0,0.0,0.0,0.0,1031.5,1030.3826904296875,91.0,11.525623321533203,358.21014404296875,25.19999885559082,1.0,2024,11,14,11,4
